dataset,rep,M,S,MS,K_star,rf_acc,rf_rmin,rf_rmaj,Kstar_acc,Kstar_rmin,Kstar_rmaj,K0_acc,K0_rmin,K0_rmaj,K10_acc,K10_rmin,K10_rmaj,K20_acc,K20_rmin,K20_rmaj,K30_acc,K30_rmin,K30_rmaj
heart-disease,7,0.181208,0.111960,0.020288,10,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776
heart-disease,8,0.134228,0.074755,0.010034,0,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367
heart-disease,9,0.181208,0.087349,0.015828,0,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592
heart-disease,10,0.154362,0.092796,0.014324,0,0.800000,0.312500,0.959184,0.830769,0.375000,0.979592,0.830769,0.375000,0.979592,0.830769,0.375000,0.979592,0.830769,0.375000,0.979592,0.830769,0.375000,0.979592
heart-disease,11,0.174497,0.101469,0.017706,0,0.846154,0.562500,0.938776,0.846154,0.562500,0.938776,0.846154,0.562500,0.938776,0.846154,0.562500,0.938776,0.846154,0.562500,0.938776,0.846154,0.562500,0.938776
heart-disease,12,0.140940,0.091663,0.012919,0,0.800000,0.250000,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592
heart-disease,13,0.114094,0.139435,0.015909,0,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184
heart-disease,14,0.174497,0.071913,0.012549,0,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776,0.784615,0.375000,0.918367,0.784615,0.375000,0.918367,0.784615,0.375000,0.918367
heart-disease,15,0.127517,0.086203,0.010992,0,0.769231,0.125000,0.979592,0.769231,0.125000,0.979592,0.769231,0.125000,0.979592,0.769231,0.125000,0.979592,0.769231,0.125000,0.979592,0.769231,0.125000,0.979592
heart-disease,16,0.140940,0.157800,0.022240,10,0.769231,0.187500,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184
heart-disease,17,0.114094,0.042837,0.004887,0,0.815385,0.375000,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184
heart-disease,18,0.127517,0.091997,0.011731,0,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367,0.753846,0.250000,0.918367
heart-disease,19,0.201342,0.094068,0.018940,0,0.800000,0.437500,0.918367,0.800000,0.437500,0.918367,0.800000,0.437500,0.918367,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776,0.815385,0.437500,0.938776
heart-disease,20,0.114094,0.054449,0.006212,0,0.723077,0.250000,0.877551,0.723077,0.250000,0.877551,0.723077,0.250000,0.877551,0.723077,0.250000,0.877551,0.723077,0.250000,0.877551,0.723077,0.250000,0.877551
heart-disease,21,0.154362,0.136338,0.021046,30,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592,0.815385,0.312500,0.979592
heart-disease,22,0.174497,0.055930,0.009760,0,0.784615,0.562500,0.857143,0.784615,0.562500,0.857143,0.784615,0.562500,0.857143,0.784615,0.562500,0.857143,0.784615,0.562500,0.857143,0.784615,0.562500,0.857143
