dataset,rep,M,S,MS,rf_acc,rf_rmin,rf_rmaj,K0_alpha,K0_acc,K0_rmin,K0_rmaj,K10_alpha,K10_acc,K10_rmin,K10_rmaj,K20_alpha,K20_acc,K20_rmin,K20_rmaj,K30_alpha,K30_acc,K30_rmin,K30_rmaj
heart-disease,27,0.114094,0.242039,0.027615,0.815385,0.375000,0.959184,1.000000,0.815385,0.375000,0.959184,1.276151,0.815385,0.375000,0.959184,1.552303,0.815385,0.375000,0.959184,1.828454,0.815385,0.375000,0.959184
heart-disease,28,0.127517,0.135907,0.017330,0.800000,0.250000,0.979592,1.000000,0.800000,0.250000,0.979592,1.173304,0.800000,0.250000,0.979592,1.346608,0.800000,0.250000,0.979592,1.519913,0.800000,0.250000,0.979592
heart-disease,29,0.161074,0.043250,0.006966,0.800000,0.250000,0.979592,1.000000,0.800000,0.250000,0.979592,1.069664,0.800000,0.250000,0.979592,1.139328,0.800000,0.250000,0.979592,1.208993,0.800000,0.250000,0.979592
parkinsons,0,0.080882,0.105924,0.008567,0.932203,0.800000,0.977273,1.000000,0.915254,0.733333,0.977273,1.085674,0.915254,0.733333,0.977273,1.171348,0.915254,0.733333,0.977273,1.257022,0.915254,0.733333,0.977273
parkinsons,1,0.080882,0.237114,0.019178,0.881356,0.733333,0.931818,1.000000,0.881356,0.733333,0.931818,1.191784,0.881356,0.733333,0.931818,1.383567,0.881356,0.733333,0.931818,1.575351,0.881356,0.733333,0.931818
parkinsons,2,0.088235,0.154254,0.013611,0.932203,0.733333,1.000000,1.000000,0.932203,0.733333,1.000000,1.136107,0.932203,0.733333,1.000000,1.272213,0.932203,0.733333,1.000000,1.408320,0.932203,0.733333,1.000000
parkinsons,3,0.073529,0.198230,0.014576,0.932203,0.800000,0.977273,1.000000,0.932203,0.800000,0.977273,1.145758,0.932203,0.800000,0.977273,1.291515,0.932203,0.800000,0.977273,1.437273,0.932203,0.800000,0.977273
parkinsons,4,0.095588,0.365471,0.034935,0.932203,0.933333,0.931818,1.000000,0.932203,0.933333,0.931818,1.349348,0.932203,0.933333,0.931818,1.698695,0.932203,0.933333,0.931818,2.048043,0.932203,0.933333,0.931818
parkinsons,5,0.073529,0.204934,0.015069,0.864407,0.533333,0.977273,1.000000,0.864407,0.600000,0.954545,1.150686,0.864407,0.600000,0.954545,1.301373,0.847458,0.600000,0.931818,1.452059,0.847458,0.600000,0.931818
parkinsons,6,0.110294,0.283599,0.031279,0.915254,0.666667,1.000000,1.000000,0.932203,0.733333,1.000000,1.312793,0.932203,0.733333,1.000000,1.625585,0.932203,0.733333,1.000000,1.938378,0.932203,0.733333,1.000000
